what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.save",1304953836146
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304953840349
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304953856208
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304953856224
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304953858833
activated,view,org.eclipse.jdt.ui,3.7.0.v20110427-1800,"org.eclipse.jdt.ui.PackageExplorer",1304953868427
activated,editor,org.eclipse.ui.editors,3.7.0.v20110427-1800,"org.eclipse.ui.DefaultTextEditor",1304953868615
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.save",1304953875318
activated,view,org.eclipse.jdt.ui,3.7.0.v20110427-1800,"org.eclipse.jdt.ui.PackageExplorer",1304953883224
opened,editor,org.eclipse.pde.ui,3.6.100.v20110418,"org.eclipse.pde.ui.productEditor",1304953885568
activated,editor,org.eclipse.pde.ui,3.6.100.v20110418,"org.eclipse.pde.ui.productEditor",1304953885630
activated,view,org.eclipse.jdt.ui,3.7.0.v20110427-1800,"org.eclipse.jdt.ui.PackageExplorer",1304953889380
opened,editor,org.eclipse.ui.editors,3.7.0.v20110427-1800,"org.eclipse.ui.DefaultTextEditor",1304953889614
activated,editor,org.eclipse.ui.editors,3.7.0.v20110427-1800,"org.eclipse.ui.DefaultTextEditor",1304953889708
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.save",1304953913130
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.save",1304953916661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304954846695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1304954848680
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.select.wordPrevious",1304955667085
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.select.wordPrevious",1304955667257
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.select.wordPrevious",1304955667913
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.save",1304955670929
activated,view,org.eclipse.jdt.ui,3.7.0.v20110427-1800,"org.eclipse.jdt.ui.PackageExplorer",1304955673819
activated,editor,org.eclipse.ui.editors,3.7.0.v20110427-1800,"org.eclipse.ui.DefaultTextEditor",1304955673991
activated,view,org.eclipse.jdt.ui,3.7.0.v20110427-1800,"org.eclipse.jdt.ui.PackageExplorer",1304955679101
activated,editor,org.eclipse.ui.editors,3.7.0.v20110427-1800,"org.eclipse.ui.DefaultTextEditor",1304955679304
